Fips,Average Humidity,State_Code
8113,75.42%,CO
8089,75.28%,CO
8071,75.10%,CO
8081,75.04%,CO
8061,74.36%,CO
8011,73.37%,CO
8009,72.78%,CO
8099,72.67%,CO
9009,80.99%,CT
9001,80.95%,CT
9007,79.97%,CT
9003,79.41%,CT
9011,78.72%,CT
9013,78.61%,CT
9015,77.40%,CT
9005,76.78%,CT
10005,78.28%,DE
10001,72.78%,DE
10003,68.37%,DE
12086,81.76%,FL
12089,80.86%,FL
12093,80.41%,FL
12003,80.38%,FL
12071,80.31%,FL
12045,79.92%,FL
12013,79.38%,FL
12087,79.36%,FL
12023,79.33%,FL
12061,79.02%,FL
12103,78.86%,FL
12047,78.82%,FL
12113,78.72%,FL
12077,78.64%,FL
12083,78.53%,FL
12055,78.43%,FL
12021,78.42%,FL
12033,78.31%,FL
12017,78.18%,FL
12115,77.97%,FL
12019,77.84%,FL
12057,77.83%,FL
12015,77.65%,FL
12031,77.63%,FL
12027,77.60%,FL
12117,77.59%,FL
12075,77.54%,FL
12011,77.51%,FL
12085,77.42%,FL
12105,77.29%,FL
12049,77.10%,FL
12127,77.08%,FL
12125,77.06%,FL
12079,76.93%,FL
12107,76.92%,FL
12007,76.85%,FL
12037,76.84%,FL
12101,76.72%,FL
12051,76.63%,FL
12043,76.58%,FL
12039,76.51%,FL
12063,76.30%,FL
12053,76.21%,FL
12073,76.07%,FL
12005,76.01%,FL
12097,75.93%,FL
12065,75.74%,FL
12121,75.69%,FL
12001,75.62%,FL
12081,75.51%,FL
12133,75.18%,FL
12095,75.15%,FL
12035,74.99%,FL
12119,74.81%,FL
12091,74.58%,FL
12009,74.47%,FL
12059,74.45%,FL
12099,73.91%,FL
12129,73.91%,FL
12123,73.85%,FL
12069,73.74%,FL
12131,73.19%,FL
12041,72.13%,FL
12067,70.29%,FL
12029,70.08%,FL
13127,85.55%,GA
13039,85.07%,GA
13305,84.43%,GA
13229,84.43%,GA
13025,84.05%,GA
13005,83.00%,GA
13299,82.38%,GA
13065,81.85%,GA
13049,81.39%,GA
13001,81.36%,GA
13069,80.85%,GA
13003,80.29%,GA
13161,79.84%,GA
13183,79.79%,GA
13173,79.78%,GA
13101,79.58%,GA
13163,79.25%,GA
13245,79.23%,GA
13303,78.61%,GA
13185,78.49%,GA
13271,78.25%,GA
13167,78.06%,GA
13017,78.04%,GA
13033,77.93%,GA
13319,77.75%,GA
13019,77.72%,GA
13267,77.72%,GA
13073,77.65%,GA
13179,77.54%,GA
13239,77.34%,GA
13155,77.34%,GA
13061,77.24%,GA
13063,77.24%,GA
13135,77.19%,GA
13247,77.18%,GA
13279,76.74%,GA
13075,76.72%,GA
13277,76.70%,GA
13209,76.65%,GA
13059,76.62%,GA
13013,76.59%,GA
13063,76.59%,GA
13027,76.54%,GA
13157,76.54%,GA
13099,76.53%,GA
13137,76.45%,GA
13009,76.42%,GA
13287,76.37%,GA
13071,76.35%,GA
13219,76.34%,GA
13297,76.30%,GA
13309,76.22%,GA
13125,76.21%,GA
13121,76.16%,GA
13315,76.08%,GA
13029,76.08%,GA
13091,75.98%,GA
13021,75.94%,GA
13141,75.92%,GA
13151,75.92%,GA
13109,75.86%,GA
13223,75.85%,GA
13139,75.85%,GA
13221,75.84%,GA
13321,75.83%,GA
13217,75.81%,GA
13289,75.72%,GA
13301,75.66%,GA
13205,75.62%,GA
13181,75.56%,GA
13169,75.50%,GA
13255,75.45%,GA
13133,75.43%,GA
13131,75.40%,GA
13265,75.32%,GA
13117,75.30%,GA
13083,75.30%,GA
13023,75.29%,GA
13241,75.29%,GA
13211,75.22%,GA
13107,75.21%,GA
13253,75.20%,GA
13007,75.19%,GA
13243,75.17%,GA
13317,75.17%,GA
13097,75.11%,GA
13113,75.07%,GA
13011,75.04%,GA
13067,75.00%,GA
13087,74.97%,GA
13283,74.96%,GA
13175,74.95%,GA
13079,74.92%,GA
13313,74.92%,GA
13051,74.90%,GA
13165,74.90%,GA
13311,74.89%,GA
13047,74.81%,GA
13095,74.80%,GA
13207,74.74%,GA
13281,74.70%,GA
13129,74.63%,GA
13295,74.59%,GA
13235,74.57%,GA
13275,74.57%,GA
13035,74.56%,GA
13171,74.56%,GA
13143,74.46%,GA
13195,74.44%,GA
13213,74.37%,GA
13037,74.36%,GA
13237,74.25%,GA
13043,74.23%,GA
13233,74.18%,GA
13159,74.16%,GA
13115,74.05%,GA
13231,74.03%,GA
13293,73.76%,GA
13081,73.67%,GA
13225,73.65%,GA
13055,73.64%,GA
13031,73.64%,GA
13119,73.57%,GA
13015,73.46%,GA
13201,73.43%,GA
13085,73.41%,GA
13057,73.32%,GA
13077,73.23%,GA
13153,73.22%,GA
13257,73.12%,GA
13187,73.12%,GA
13093,73.11%,GA
13259,73.08%,GA
13291,72.98%,GA
13269,72.78%,GA
13251,72.78%,GA
13215,72.72%,GA
13227,72.69%,GA
13053,72.63%,GA
13111,72.50%,GA
13105,72.44%,GA
13273,72.38%,GA
13193,72.16%,GA
13177,72.16%,GA
13285,71.97%,GA
13123,71.93%,GA
13263,71.89%,GA
13147,71.87%,GA
13149,71.84%,GA
13045,71.46%,GA
13261,71.35%,GA
13145,71.30%,GA
13249,71.25%,GA
13199,71.24%,GA
13103,71.23%,GA
13307,71.14%,GA
13197,71.05%,GA
15007,76.39%,HI
15001,74.88%,HI
15009,73.96%,HI
15003,73.72%,HI
16035,86.02%,ID
16049,85.78%,ID
16061,85.77%,ID
16069,84.58%,ID
16057,83.49%,ID
16083,82.74%,ID
16003,82.60%,ID
16079,82.55%,ID
16085,82.33%,ID
16009,82.10%,ID
16047,81.76%,ID
16059,81.72%,ID
16073,81.69%,ID
16025,81.26%,ID
16063,81.14%,ID
16021,81.02%,ID
16087,80.87%,ID
16053,80.62%,ID
16043,80.29%,ID
16033,80.29%,ID
16037,80.27%,ID
16013,80.11%,ID
16039,80.02%,ID
16017,79.61%,ID
16055,79.43%,ID
16023,79.38%,ID
16051,78.69%,ID
16067,78.61%,ID
16001,78.53%,ID
16003,78.53%,ID
16075,78.30%,ID
16045,78.23%,ID
16027,78.16%,ID
16015,77.95%,ID
16031,77.61%,ID
16081,77.22%,ID
16065,76.85%,ID
16011,76.46%,ID
16019,75.68%,ID
16077,75.57%,ID
16005,75.36%,ID
16029,75.12%,ID
16007,74.61%,ID
16041,73.51%,ID
16071,73.38%,ID
17083,82.82%,IL
17131,82.79%,IL
17161,82.54%,IL
17013,81.99%,IL
17029,81.83%,IL
17085,81.49%,IL
17071,81.43%,IL
17061,81.38%,IL
17117,81.29%,IL
17187,81.10%,IL
17139,81.01%,IL
17167,81.00%,IL
17041,81.00%,IL
17005,80.97%,IL
17051,80.92%,IL
17035,80.84%,IL
17169,80.82%,IL
17149,80.81%,IL
17049,80.66%,IL
17173,80.61%,IL
17017,80.59%,IL
17129,80.46%,IL
17079,80.44%,IL
17073,80.44%,IL
17111,80.44%,IL
17147,80.41%,IL
17021,80.40%,IL
17009,80.32%,IL
17119,80.31%,IL
17023,80.22%,IL
17137,80.14%,IL
17125,80.14%,IL
17115,80.14%,IL
17057,80.13%,IL
17033,79.88%,IL
17001,79.81%,IL
17179,79.74%,IL
17107,79.67%,IL
17171,79.67%,IL
17045,79.66%,IL
17015,79.51%,IL
17067,79.50%,IL
17027,79.46%,IL
17133,79.43%,IL
17135,79.38%,IL
17095,79.30%,IL
17195,79.26%,IL
17019,79.02%,IL
17025,78.82%,IL
17143,78.81%,IL
17175,78.55%,IL
17121,78.51%,IL
17101,78.40%,IL
17003,78.33%,IL
17159,77.99%,IL
17011,77.86%,IL
17185,77.76%,IL
17203,77.76%,IL
17181,77.67%,IL
17177,77.65%,IL
17077,77.49%,IL
17189,77.31%,IL
17081,77.29%,IL
17157,77.15%,IL
17153,77.10%,IL
17191,77.00%,IL
17123,76.89%,IL
17155,76.60%,IL
17127,76.58%,IL
17069,76.47%,IL
17103,76.31%,IL
